name,main_category,sub_category,price_level,duration_minutes,lat,lng,district
Seyhmuz Kebap,Yeme-İçme,Dünya Mutfağı,₺,60,41.0088964,28.9696383,İstanbul
Otto Cihangir,Yeme-İçme,Dünya Mutfağı,₺,60,41.032191,28.9829731,İstanbul
E Balik,Yeme-İçme,Dünya Mutfağı,₺,60,41.00909,29.1354605,İstanbul
Hasan Usta,Yeme-İçme,Dünya Mutfağı,₺,60,41.0083361,29.1383639,İstanbul
Orman Cafe & Restaurant,Yeme-İçme,Dünya Mutfağı,₺,60,41.0277645,29.1373818,İstanbul
Cafe Garage,Yeme-İçme,Dünya Mutfağı,₺,60,41.0049313,29.1315253,İstanbul
St.George's Anglican Church,Tarih & Kültür,Surlar & Kalıntılar,Free,90,41.1909401,28.9623135,İstanbul
Sa Va Anatolian Breakfast House,Yeme-İçme,Geleneksel Türk,₺₺,60,41.0320474,28.9837075,İstanbul
Hayvore,Yeme-İçme,Geleneksel Türk,₺₺,60,41.0338294,28.9788816,İstanbul
Filiboz Antik Bizans kasabası,Tarih & Kültür,Surlar & Kalıntılar,Free,90,41.1261093,28.7018667,İstanbul
Nakka Bistro,Yeme-İçme,Dünya Mutfağı,₺,60,41.0268562,28.9743784,İstanbul
Farika Döner,Yeme-İçme,Dünya Mutfağı,₺,60,41.0231587,29.1298469,İstanbul
Dogaciyiz.com gourmet şarküteri,Yeme-İçme,Dünya Mutfağı,₺,60,41.0300565,28.9824119,İstanbul
Captain,Yeme-İçme,Dünya Mutfağı,₺,60,41.0862571,29.0080208,İstanbul
Cafe Levent,Yeme-İçme,Dünya Mutfağı,₺,60,41.0855803,29.0084838,İstanbul
1972 Çevre Pasta Cafe Restaurant,Yeme-İçme,Dünya Mutfağı,₺,60,41.0854131,29.0087046,İstanbul
on1 Bistro,Yeme-İçme,Dünya Mutfağı,₺,60,41.0856851,29.00859,İstanbul
