name,category,sub_category,lat,lng,district,opening_hours,budget
Aksaray Restaurant,Dining,Turkish;Kebab,41.013466,28.94472,Fatih,08:00-24:00,Medium
Van Restaurant,Dining,Turkish;Kebab,41.0131801,28.9446187,Fatih,08:00-24:00,Medium
Izgara Evi Restuarant,Dining,Arab;Syrian,41.0110287,28.9422637,Fatih,08:00-24:00,Medium
Osmanli Konagi Restuarant,Dining,Turkish;Kebab,41.0110945,28.9416817,Fatih,08:00-24:00,Medium
Lunchbox,Dining,World Cuisine,41.0460078,28.8960983,Bayrampaşa,09:00-22:00,Medium
Domino Cafe,Dining,Turkish;Arab,41.0317756,28.9477735,Fatih,09:00-22:00,Medium
Tarihi Kalkanoğlu Pilavcısı,Dining,Regional,41.0341546,28.9801885,Beyoğlu,09:00-22:00,Medium
Fateh Alhayr resturant,Dining,World Cuisine,41.0129463,28.9386867,Fatih,09:00-22:00,Medium
yemen resturant,Dining,World Cuisine,41.0116471,28.9416063,Fatih,09:00-22:00,Medium
Sallouraoğlu halep sofrası,Dining,World Cuisine,41.0115199,28.942071,Fatih,09:00-22:00,Medium
Şam şerif tatlası,Dining,World Cuisine,41.0114969,28.9421472,Fatih,09:00-22:00,Medium
zirwe sultan resturant,Dining,World Cuisine,41.011344,28.9427297,Fatih,09:00-22:00,Medium
Allüş cafe,Dining,World Cuisine,41.0110166,28.9439989,Fatih,09:00-22:00,Medium
Alnabelsi resturant,Dining,World Cuisine,41.0108884,28.9450398,Fatih,09:00-22:00,Medium
Alqubtan resturants,Dining,World Cuisine,41.0108896,28.9449255,Fatih,09:00-22:00,Medium
Layale Şamiye,Dining,World Cuisine,41.0105357,28.9460091,Fatih,09:00-22:00,Medium
Tarbuş Mutfağı,Dining,World Cuisine,41.0104682,28.9462858,Fatih,09:00-22:00,Medium
